Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
6800000,1120,Dombivali,3,0,1,1,1,0,1,1,1,1,0,0,0,1,1
32500000,1545,Powai,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
25000000,1350,Powai,3,0,1,1,0,0,0,1,1,1,0,0,1,0,1
4837000,774,Dombivali,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
6187000,990,Dombivali,2,1,1,1,1,0,0,1,1,0,0,0,0,0,1
8212000,1314,Dombivali,3,1,1,1,1,0,0,1,1,0,0,0,0,0,1
6637000,1062,Dombivali,2,1,1,1,1,0,0,1,1,0,0,0,0,0,1
7481000,1197,Dombivali,3,1,1,1,1,0,0,1,1,0,0,0,0,0,1
6862000,1098,Dombivali,2,1,1,1,1,0,0,1,1,0,0,0,0,0,1
4556000,729,Dombivali,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
2500000,310,Powai,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17300000,970,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
11100000,602,Powai,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1
15500000,910,Powai,2,0,1,1,1,0,0,1,1,1,0,0,1,0,1
3325000,665,Dombivali,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0
3325000,665,Dombivali,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0
23500000,1444,Powai,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1
27500000,1545,Powai,3,0,1,1,1,1,1,1,1,1,0,1,1,1,1
6542000,1150,Dombivali,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
4475000,700,Dombivali,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
4396000,774,Dombivali,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2700000,315,Dombivali,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1
58500000,2500,Powai,4,1,1,1,0,0,0,1,1,1,0,0,1,0,1
40300000,1750,Powai,3,1,1,1,0,0,0,1,1,1,0,0,1,0,1
39000000,1340,Powai,3,0,1,1,1,1,1,0,1,1,1,0,0,1,1
18200000,970,Powai,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
16000000,970,Powai,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
16200000,810,Powai,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
25000000,1313,Powai,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1
3300000,637,Dombivali,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
4200000,455,Dombivali,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
